trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
137,0.46148004,360,0.70680504,0.31615617,2.20112039,0.09604565,0.44184287,692,5194,4196
138,0.04067381,362,0.81816776,0.07065363,0.50651225,0.83896264,0.26611434,640,21387,7122
139,0.06103142,742,0.50001565,0.30857288,1.38851418,0.58707440,0.40978848,536,21734,6978
140,0.05420969,957,0.74829853,0.38983881,0.71185448,0.81810332,0.49482767,585,7448,3581
141,0.07505495,915,0.95669729,0.38213919,3.29242900,0.34085658,0.16702464,408,3205,5630
142,0.13579709,605,0.92245701,0.08245827,4.23512982,0.37862925,0.05435035,240,4752,3608
143,0.21341105,444,0.99364881,0.31055851,4.45273848,0.48949047,0.08088260,639,24404,3085
144,0.11565885,609,0.90742987,0.45415733,0.32889821,0.45112432,0.40189423,541,5757,5426
145,0.38239139,738,0.78528463,0.13433862,2.08398765,0.12573385,0.19056072,587,15969,4945
146,0.10090975,508,0.88855672,0.25172304,2.39996501,0.29771925,0.15627561,290,2488,3895
147,0.22640880,929,0.80777300,0.05887516,0.23122798,0.30212613,0.11157044,625,4290,3984
148,0.02555884,349,0.55838885,0.28580769,0.63812842,0.71802733,0.18040482,82,17330,6885
149,0.03183682,422,0.80506336,0.49981835,2.53082999,0.82154695,0.44106408,644,3376,6460
150,0.11407625,396,0.97548839,0.36567336,0.51278450,0.41902668,0.08206918,155,12186,7460
151,0.11948975,363,0.58484581,0.41953632,2.55671188,0.66312864,0.07883119,701,21900,2157
152,0.03751177,154,0.55322285,0.18102077,3.36545218,0.68068681,0.30171553,745,12398,5071
153,0.08472671,464,0.89983138,0.47923242,0.21724488,0.97181557,0.28300825,393,24318,5275
154,1.56183890,399,0.95959431,0.22423907,3.50045372,0.24606719,0.02558777,600,24514,7193
155,0.02901674,667,1.01494057,0.38081897,4.10560152,0.69854350,0.33237082,595,15877,3058
156,0.05723773,418,0.55758884,0.05891148,0.21346654,0.58676835,0.35772749,111,18772,4679
157,1.22820910,542,0.98405402,0.22837556,2.82861986,0.22137332,0.03576983,90,6937,3887
158,0.23057570,382,0.63018039,0.37370310,3.72048915,0.11286710,0.35044870,443,22938,4293
159,0.03121797,943,0.68005904,0.18501533,4.45077651,0.75063615,0.12248599,722,13082,4958
160,0.05714545,262,0.89487213,0.34242274,0.26516591,0.90527220,0.35554193,110,3156,7172
161,0.56551341,529,1.03156774,0.22752595,1.59059490,0.10092373,0.39775911,279,13152,3914
162,0.07570353,433,0.55882378,0.05373230,1.93934626,0.47732171,0.09207240,534,15671,4295
163,0.42322766,242,0.79401936,0.22826611,0.80029221,0.16489378,0.18356853,656,20116,5719
164,0.08223487,525,0.98768420,0.09203381,4.99982270,0.32069946,0.43831318,288,9526,4963
165,1.00727318,496,0.76860372,0.13707319,4.62203260,0.63607516,0.00348888,244,15648,4449
166,0.37976970,745,0.85627060,0.07152470,2.02920113,0.11716688,0.14892362,167,23258,4482
167,0.06021044,869,1.02946778,0.25381667,0.44406326,0.58338098,0.39807806,485,11944,6432
168,0.02116768,341,0.93177850,0.36016232,3.70874863,0.84458784,0.36817716,246,12564,5835
169,0.05265243,670,0.68248764,0.42804764,0.44191288,0.56075993,0.43432406,92,23309,6915
170,0.03653010,415,0.64432242,0.09169957,4.80670046,0.81664797,0.49434791,279,14574,3614
171,0.21892396,749,0.91168493,0.25989032,0.06546881,0.19088360,0.28204395,738,8078,4793
172,0.04690507,781,1.01847647,0.42656696,4.24445032,0.44617448,0.25206829,239,10558,5934
173,0.08776388,738,0.63552452,0.35562323,3.83550836,0.44412853,0.40443389,713,16391,3000
174,0.08382300,134,0.83990525,0.04632324,1.05833533,0.39691079,0.49915760,470,17779,2339
175,0.07105003,581,0.81456323,0.14178432,3.70918273,0.36359815,0.42075813,477,15032,2901
176,0.27662004,192,0.56125771,0.09495138,4.67688653,0.08090821,0.05584355,656,10645,3740
